Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,Distance,RouteDistance,PreviousAccidents,Accidents
30,9.5,1.531,1.285,10,10,20,59.9672,30.4031,59.9387,30.3736,3567.657,11496.160,0,0
45,16.2,1.402,0.990,10,8,18,59.8258,30.2215,59.9916,30.6565,30460.032,93336.287,2,1
24,3.6,0.714,1.733,7,8,15,59.9646,30.3458,59.9284,30.4015,5084.256,15401.085,1,1
53,16.3,1.647,0.932,11,11,22,59.9673,30.3148,59.9384,30.3925,5389.670,13920.487,1,0
53,16.5,1.099,0.989,8,6,14,59.7025,30.3959,60.0168,30.4072,34957.815,98963.226,6,1
33,14.4,1.619,1.144,11,10,21,60.0105,30.4186,60.0119,30.2455,9621.921,23204.669,0,0
32,8.0,1.363,1.078,7,9,16,59.8540,30.3943,59.9379,30.2695,11637.550,29522.352,0,0
33,10.1,1.391,1.194,9,8,17,59.9733,30.3942,60.0519,30.3551,9005.779,24247.498,0,0
79,32.1,1.398,0.606,7,10,17,59.7199,30.0714,59.7323,30.4143,19270.784,45514.403,0,0
19,1.1,0.607,2.309,11,8,19,60.0293,30.4266,60.0161,30.3900,2508.413,7831.920,2,0
29,6.6,0.924,1.427,8,5,13,59.9400,30.2856,59.9513,30.3039,1625.893,5273.863,1,0
26,5.5,0.843,1.493,7,11,18,59.8383,30.5037,59.8285,30.1753,18385.981,49010.818,7,0
42,16.9,1.287,0.834,10,7,17,59.9007,30.3703,59.9167,30.3468,2213.033,5729.443,0,0
66,17.2,1.755,0.713,7,8,15,59.8971,30.4284,59.8933,30.3582,3933.374,13642.096,0,0
54,22.9,1.696,0.728,9,9,18,59.8778,30.3854,59.8387,30.3347,5184.115,14190.872,2,0
31,9.2,1.089,1.267,14,12,2,59.9087,30.4744,59.8509,30.2399,14575.351,58591.075,0,0
20,0.9,0.675,1.512,10,8,18,59.9662,30.4103,59.9372,30.2415,9936.498,24517.423,1,0
47,17.6,1.210,0.821,15,9,0,60.0470,30.4015,59.9313,30.2892,14294.898,34110.662,0,0
22,3.2,0.910,1.533,10,10,20,59.9551,30.2427,59.8511,30.2510,11571.387,29934.212,1,1
30,13.4,1.399,1.347,10,6,16,59.9326,30.4143,59.9408,30.3440,4021.055,11012.571,1,0
62,15.4,1.440,0.528,10,7,17,60.0109,30.0034,60.0049,30.7765,42977.515,138337.972,1,0
30,10.7,1.550,1.184,9,10,19,59.8958,30.4059,60.0153,30.3634,13498.497,34057.930,1,0
31,9.0,1.463,0.976,11,7,18,59.8752,30.4447,59.8524,30.3534,5685.535,12005.345,0,0
62,21.7,1.371,0.885,7,7,14,60.0128,30.2561,60.0662,30.3485,7842.805,20461.265,0,1
43,11.2,1.428,0.929,17,7,0,60.0485,30.4287,59.9717,30.2938,11361.306,33279.827,0,0
40,11.3,1.081,0.813,15,11,2,59.8973,30.4731,59.9420,30.2670,12518.534,30140.528,2,0
39,7.1,0.924,0.721,15,11,2,59.9324,30.4088,60.0487,30.3548,13275.703,32883.855,0,0
26,3.9,0.890,1.578,7,10,17,59.8898,30.4500,60.0033,30.3671,13438.502,32594.582,4,1
56,15.1,1.607,0.765,9,8,17,60.0414,30.3395,59.9346,30.3127,11966.007,29763.108,0,0
30,7.8,1.207,1.309,10,8,18,59.8692,30.3971,59.8817,30.9895,33092.994,79667.195,4,0
35,11.9,1.102,1.128,8,8,16,59.8531,30.1494,60.0388,30.4614,26992.519,104107.460,8,0
37,12.4,1.724,1.012,15,8,23,60.0339,30.3318,59.9997,30.3280,3813.633,9466.323,1,0
58,19.8,1.524,0.646,7,11,18,59.8558,30.2149,59.9279,30.2472,8213.141,30450.011,0,0
51,19.7,1.585,0.748,16,10,2,59.9593,30.3256,59.9444,30.3672,2845.873,8901.998,0,0
35,7.4,1.162,1.095,9,9,18,59.8756,30.2672,59.5594,30.1314,35973.129,83036.096,1,0
33,14.0,1.207,1.254,10,7,17,60.0161,30.2760,59.9833,30.3122,4163.668,13462.353,1,0
74,26.3,1.408,0.623,10,9,19,60.1212,30.1410,59.9663,30.4751,25310.878,69843.386,2,0
26,7.5,0.994,1.431,11,6,17,59.9516,30.3076,59.7383,30.0915,26620.250,62138.889,1,0
70,18.1,1.396,0.689,9,7,16,60.0450,30.3358,59.9043,30.4769,17508.039,62579.073,1,0
26,6.4,1.080,1.489,9,6,15,59.8446,30.2763,60.0506,30.4477,24818.673,91229.080,6,1
29,5.8,1.209,1.366,10,7,17,60.0254,30.4570,59.8297,30.3850,22131.417,67644.290,1,2
24,2.6,0.911,1.449,7,8,15,59.9468,30.4893,59.9336,30.3464,8094.588,18788.300,1,0
33,11.7,1.550,1.077,14,5,19,59.9448,30.3650,59.9588,30.3055,3661.853,9780.484,0,0
45,13.8,1.571,0.816,9,8,17,60.0414,30.3547,60.0452,30.3227,1827.845,4724.355,0,0
26,5.1,0.663,1.549,9,8,17,59.6966,30.4150,59.9601,30.3020,29968.784,77222.006,10,1
67,20.4,1.588,0.735,10,9,19,59.9327,30.2551,60.0016,30.3328,8799.248,22436.747,0,0
40,13.9,1.377,0.980,11,8,19,59.9522,30.4799,59.9433,30.2980,10173.865,25353.445,0,0
55,17.3,1.337,0.832,11,11,22,59.9392,30.3413,59.9964,30.3401,6354.467,15885.049,1,0
44,9.0,1.294,0.831,9,7,16,60.0790,30.2783,59.9906,30.2869,9848.405,25741.802,0,0
32,7.8,1.190,1.228,11,7,18,60.0456,30.3829,60.0054,30.2797,7265.810,18464.247,1,0
55,17.4,1.124,0.902,9,6,15,59.8305,30.0899,59.9654,30.3090,19351.172,61772.486,2,2
45,15.9,1.536,0.888,8,9,17,59.8505,30.1800,59.7504,30.5887,25429.833,62841.154,1,0
41,10.8,1.052,0.958,8,4,12,60.0259,30.4172,59.9509,30.2980,10659.022,24882.807,2,0
44,12.3,1.752,0.992,7,8,15,60.0414,30.3415,59.8843,30.3663,17524.599,40749.109,2,0
52,12.7,1.418,0.975,8,7,15,59.9246,30.3293,60.0780,30.2978,17147.273,37497.816,1,0
61,24.4,1.522,0.544,14,7,21,60.0010,30.3509,59.9318,30.3504,7700.979,18435.949,0,0
62,23.4,1.163,0.564,9,8,17,59.9548,30.4626,59.8292,30.3788,14736.307,53283.376,1,0
30,3.4,0.958,1.364,9,8,17,59.9313,30.2851,60.0721,30.3673,16305.117,40905.060,2,0
33,9.8,1.211,0.981,7,9,16,60.0085,30.2041,60.0372,30.4330,13114.815,31560.885,0,0
54,16.8,1.441,0.697,9,7,16,59.9411,30.2629,60.0590,30.3560,14095.713,36704.095,1,0
26,2.8,0.939,1.446,10,8,18,59.7247,30.2608,59.5712,30.1386,18401.123,41805.207,3,0
52,14.9,1.738,0.908,8,9,17,59.8405,30.3480,60.0115,30.3255,19053.885,42062.829,0,0
41,12.8,1.458,1.033,8,9,17,59.9449,30.3512,59.9305,30.3774,2164.814,5688.622,0,0
24,4.3,1.073,1.458,9,8,17,60.0467,30.3667,59.8297,30.3807,24139.744,80919.330,4,0
50,15.3,1.446,1.012,9,8,17,59.7402,30.4125,60.0360,30.4156,32888.775,93889.539,2,0
42,12.3,1.501,0.994,8,5,13,59.8138,30.5661,60.1005,30.2710,35857.134,97208.977,1,0
26,6.2,0.897,1.343,9,11,20,59.9291,30.4637,59.8914,30.3038,9852.057,28687.145,1,0
45,9.9,1.200,0.748,10,8,18,59.8532,30.2026,59.9404,30.2800,10607.853,27440.975,2,0
38,10.2,1.343,1.019,9,9,18,59.9479,30.5744,59.8760,30.4414,10902.674,27097.297,0,0
65,26.5,1.148,0.549,9,9,18,60.0159,30.3645,59.8466,30.4576,19529.887,62672.666,2,0
54,16.0,1.104,0.732,9,11,20,59.9384,30.2856,60.0682,30.3320,14664.509,34858.484,1,0
37,13.1,1.514,1.002,8,9,17,59.9448,30.3541,59.9095,30.2955,5105.472,12233.975,0,0
22,3.1,0.970,1.366,14,7,21,59.8883,29.8622,59.8486,30.1025,14120.224,31238.510,0,0
40,7.9,1.290,0.907,8,8,16,59.9881,29.7912,59.9445,30.3674,32429.591,103988.338,2,0
56,18.9,1.972,0.817,16,9,1,60.0327,30.4120,60.0127,30.3187,5637.777,14594.173,0,0
